"1"	"10088"	"0"	"string"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	"string"	"string"	"0"	"0"	""	"0"	"string"	"string"	"0"	"0"
"2"	"10086"	"0"	"string"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	"string"	"string"	"0"	"0"	""	"0"	"string"	"string"	"0"	"0"
"3"	"10086"	"0"	"string"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"4"	"10086"	"0"	"A"	"a"	"a"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"1.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"5"	"2212"	"0"	"string"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"6"	"0"	"0"	""	""	""	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"7"	"0"	"0"	""	""	""	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"8"	"0"	"0"	"dd"	"d"	"d"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"1.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"9"	"0"	"0"	"ddd"	"dd"	"ddd"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"1.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"11"	"0"	"0"	"qqqq"	"qq"	"qqq"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"1.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"12"	"0"	"0"	"4"	"a"	"a"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"13"	"0"	"0"	"QQQQQQQQQQQEE"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"14"	"0"	"0"	"AAAA"	"a"	"a"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"16"	"10086"	"0"	"DDDD"	"d"	"d"	"22"	"2.000000000000000000000000000000"	"2"	"2.000000000000000000000000000000"	"2.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"17"	"10086"	"0"	"EEE"	"TR"	"0OUI9"	"1"	"1.000000000000000000000000000000"	"1"	"100.000000000000000000000000000000"	"1.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
"18"	"10080"	"0"	"string"	"string"	"string"	"0"	"0.000000000000000000000000000000"	"0"	"0.000000000000000000000000000000"	"0.000000000000000000000000000000"	""	""	"0"	"0"	""	"0"	""	""	"0"	"0"
